package_name,download_count
mypy-boto3-appflow,2288295
python-docx,2275212
ddt,2274950
PuLP,2261262
peewee,2260517
cfn-flip,2252081
kubernetes-asyncio,2242073
marisa-trie,2240038
language-data,2234920
asteval,2228062
JayDeBeApi,2228027
orderly-set,2223306
pep517,2200738
fire,2200090
tableauserverclient,2181127
Flask-RESTful,2171792
Pympler,2166310
ua-parser,2165285
pycares,2163083
emoji,2152711
crcmod,2150658
tifffile,2142965
python-telegram-bot,2139342
zope.i18nmessageid,2138276
python-Levenshtein,2133603
zope.tal,2124796
aiodns,2118979
fuzzywuzzy,2116780
jellyfish,2112060
pymdown-extensions,2112015
construct,2110944
multipart,2110540
jsonlines,2110528
weaviate-client,2109141
ansible-core,2106981
shap,2097369
lazy-loader,2096201
textual,2093327
sentence-transformers,2092575
datadog-api-client,2090652
geopandas,2088181
fastparquet,2079499
torchmetrics,2078989
multimethod,2078414
apache-airflow-providers-fab,2077572
ansible,2075967
sqlalchemy-spanner,2070670
wcmatch,2068215
psycopg-binary,2063505
rdflib,2063442
yappi,2047882
opencv-python-headless,2044881
types-redis,2040665
aioresponses,2032323
xmlschema,2028721
discord.py,2027791
protobuf3-to-dict,2027461
pathy,2027387
openapi-schema-validator,2015232
apache-flink,2012812
Kivy,2010645
pemja,2009265
gql,2008169
ciso8601,2005604
google,2004136
slicer,2003188
pika,2000477
apache-flink-libraries,2000153
codecov,1997911
azure-nspkg,1996344
ipython-genutils,1993530
Chameleon,1986533
service-identity,1982503
typed-ast,1979766
unicodecsv,1977712
RestrictedPython,1974383
numcodecs,1974342
pytorch-lightning,1964879
apache-airflow-providers-imap,1964047
setuptools-rust,1949960
Events,1946426
azure-mgmt-containerregistry,1944891
gsutil,1936749
readchar,1933337
django-cors-headers,1930285
boltons,1906688
blessed,1904037
pytest-random-order,1898220
aws-sam-translator,1897302
marshmallow-enum,1894252
url-normalize,1887986
bandit,1886215
eval-type-backport,1884078
geoip2,1881696
sqlglot,1878612
junitparser,1877492
Flask-HTTPAuth,1876602
onnx,1876282
zope.hookable,1869171
zope.component,1867910
zope.schema,1864260
AccessControl,1862204
Acquisition,1860966
gradio,1859353
mkdocs-material,1857768
zict,1856714
zope.security,1855250
python-gettext,1855188
Inject,1854116
zope.exceptions,1853487
ExtensionClass,1848937
zope.container,1847794
zope.publisher,1847578
zope.i18n,1847546
zope.lifecycleevent,1847147
zope.configuration,1847098
zope.testing,1847097
zope.location,1845966
Persistence,1845776
zope.browser,1845270
zope.contenttype,1845257
WSGIProxy2,1844344
zope.dottedname,1843860
zope.cachedescriptors,1843658
zope.traversing,1843464
zope.size,1842107
zope.filerepresentation,1842056
zope.annotation,1842046
zope.site,1841856
Zope,1841367
zope.processlifetime,1841327
zope.datetime,1841087
autograd,1840999
AuthEncoding,1840133
zExceptions,1840091
zope.tales,1839761
zope.pagetemplate,1839545
azure-mgmt-cosmosdb,1839398
DocumentTemplate,1839334
zope.contentprovider,1839330
zope.testbrowser,1839075
z3c.pt,1838995
zope.browserpage,1838926
zope.browserresource,1838797
zope.viewlet,1838551
zope.structuredtext,1838541
zope.ptresource,1838523
zope.sequencesort,1838405
zope.browsermenu,1838364
MultiMapping,1838181
zope.globalrequest,1837807
asyncio,1834596
dpath,1832695
cligj,1831778
ultralytics,1826159
ray,1825764
langchain-google-vertexai,1823909
statsd,1823908
mypy-boto3-redshift-data,1818728
azure-storage-common,1818549
webdriver-manager,1810013
zarr,1804589
apache-airflow-providers-slack,1794220
pyfakefs,1791736
schematics,1787247
itypes,1787193
minimal-snowplow-tracker,1787145
Flask-Migrate,1785576
azure-keyvault-keys,1781296
openxlab,1778736
grpc-interceptor,1777791
pydocstyle,1774345
querystring-parser,1774247
pydub,1772018
uuid6,1767914
trino,1758922
xarray,1758066
flit-core,1756419
opentelemetry-instrumentation-wsgi,1755089
pandas-stubs,1753130
QtPy,1751794
mongomock,1749620
async-generator,1745774
kfp,1745172
pyperclip,1741169
meson,1734309
lightning-utilities,1732271
slackclient,1722837
starkbank-ecdsa,1720304
timm,1714464
junit-xml,1708077
feedparser,1707509
Cerberus,1705880
geopy,1701785
eventlet,1701421
hiredis,1698334
geographiclib,1697985
pdfminer.six,1694698
mkdocs,1693302
userpath,1691790
keyrings.google-artifactregistry-auth,1691426
swagger-ui-bundle,1685839
scp,1683920
jsonref,1682366
google-analytics-admin,1680897
adlfs,1679962
weasel,1678786
orderedmultidict,1678013
sphinx-autodoc-typehints,1663779
mixpanel,1663453
pep8,1662015
pywin32-ctypes,1661240
azure-keyvault,1659548
types-paramiko,1656352
furl,1645190
types-dataclasses,1643078
aws-lambda-powertools,1641407
pyotp,1639428
azure-batch,1635698
cohere,1633789
Kivy-Garden,1631914
prefect,1628910
reportlab,1626851
python-nvd3,1624925
checkov,1619444
pytest-localserver,1619315
gym,1618610
deltalake,1607403
maxminddb,1606640
jsondiff,1606314
applicationinsights,1604528
toposort,1601386
faiss-cpu,1599589
filetype,1599352
requests-ntlm,1598571
rply,1595257
tensorflow-text,1595040
pyhcl,1593269
