target_pkg,confuser_pkgs
ast-comments,st-comments;comments
ast-grep-cli,
ast-grep-py,astpy
astar,mstar;asgar;lstar;astar1;kstar;astars;astax;astir;astar-python;ashar;fstar;aster;aestar;astr;dstar;star;asta;abstar;cstar;sstar;rstar;pstar;asar;antar
astatine,
astcheck,ascheck
asteroid-filterbanks,asteroid
asteval,
astor,ostor;pastor;sator;stor;aster;astro;castor;astir;asto;actor;astr
astpretty,
astral,astryl
astrapy,satrapy;astrape;strapy
astro-provider-databricks,astro-providers-databricks
astro-sdk-python,
astroid,asteroid
astronomer-cosmos,astronomer;cosmos
astronomer-providers,providers;astronomer
astropy-healpix,
astropy-iers-data,
astropy,astro-py;antropy;astromy;gastropy;astro
astroquery,
asttokens,
astunparse,
astutils,stutils;fastutils;castutils;asgutils;vstutils;atutils;aslutils
astyle,cstyle;uastyle;zstyle;pstyle;astylo;astyle-py
asv-runner,
asv,vsv;as;a2sv;ssv;asc;asy;psv;asva;asm;msv;jsv;asg;gsv;ask;tsv;asa;dsv;asx;qsv;ayv;sav;asp;yasv;asd;ksv;asr;asf;aiv;alv;sv;akv;asb;asu;rsv;bsv;asl;osv;asq;aav;arv;ass;avs;as3;isv
async-asgi-testclient,asgi-testclient
async-cache,async;async-caches;cache;async-cached
async-exit-stack,
async-generator,async
async-interrupt,async;interrupt
async-lru,async;lru
async-modbus,modbus;async
async-property,async;property
async-stripe,async
async-timeout,async;timeout
asyncache,syncache
asyncclick,
asyncer,rsyncer;asyncr;fsyncer;asynctr;asynker;asynces;asynced;asyncur
asyncgui,async-gui;asyncgur
asynch,asyncr;synch;asyncs;asyncz;async;asynchw;asyncx;asyncd;asynco;asyncy;asynct;asyncj
asyncio-atexit,
asyncio-mqtt,mqtt
asyncio-pool,pool;asyncio-pool-ng
asyncio-throttle,asyncio-throttler;throttle
asyncio,gasyncio;asynco;asyncit;asyncro;asyncio3
asyncmock,async-mock
asyncmy,asyncpy;asyncmg;asyncy;asyncmc;asyncly
asyncpg-stubs,stubs
asyncpg,asyncpy;syncpg;asyncmg;asyncpgw;asyncgp;asynctg;asyncpd;asyncpgx;asyncbg
asyncssh,
asyncstdlib,
asynctest,asyncrest
asyncua,asyncsa;asyncba;asyncur
asysocks,anysocks
atcf-data-parser,data-parser
atlasclient,
atlassian-jwt-auth,atlassian-jwt;jwt-auth
atlassian-python-api,
atom,atop;atoma;yatom;atoz;adom;atcom;atmo;gtom;atm;attm;atomx;atum;aeom;atomd;etom;atxm;atom3;atoms;atem;anom;ratom;atoml
atomic-bomb-engine,atomic-bomb-engine-py
atomicwrites-homeassistant,
atomicwrites,
atomlite,
atproto,mtproto;ttproto
atpublic,
attr,aitr;rattr;attk;attrz;ottr;ttr;atto;atty;atr;atts;autr;attm;attrd;actr;att;attd;dattr;atbr;wttr;astr
attrdict,attrdictx;gattrdict;attrdict2;attrdict3;attridict
attributes-doc,doc;attributes
